brands,models,body,variant,fuel,transmission,city,price,mileage,engine_power
Mahindra,XUV700,SUV7,2.0 MX (E),Petrol,Manual, Bangalore,18.26,12.00 Km/l,1997 cc
Hyundai,Verna,Sedan5,1.5 SX IVT,Petrol,Automatic, Bangalore,18.19,25.00 Km/l,1497 cc
Hyundai,Exter,SUV5,1.2 S AMT,Petrol,Automatic, Bangalore,10.22,19.40 Km/l,1197 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Bangalore,15.94,21.12 Km/l,1462 cc
Hyundai,Venue,SUV5,1.2 S(O),Petrol,Manual, Bangalore,12.12,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 EX,Petrol,Manual, Bangalore,15.58,17.40 Km/l,1497 cc
Mahindra,XUV700,SUV7,2.0 AX3,Petrol,Manual, Chennai,20.75,12.00 Km/l,1997 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Chennai,13.89,17.40 Km/l,1497 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Chennai,9.52,17.52 Km/l,1197 cc
Tata,Nexon,SUV5,1.5 Smart Plus S,Diesel,Manual, Chennai,12.93,17.40 Km/l,1199 cc
Hyundai,Exter,SUV5,1.2 EX,Petrol,Manual, Chennai,7.49,19.40 Km/l,1197 cc
Hyundai,i20,Hatchback5,1.2 Sportz,Petrol,Manual, Chennai,10.08,20.35 Km/l,1197 cc
Mahindra,XUV 3XO,SUV5,1.2 AX7 TGDi,Petrol,Manual, Chennai,15.81,21.20 Km/l,1497 cc
Maruti Suzuki,Ertiga,SUV7,VXi(O) CNG,CNG,Manual, Chennai,13.34,20.51 Km/l,1462 cc
Mahindra,XUV700,SUV7,2.2 MX Diesel,Diesel,Manual, Delhi,18.3,12.00 Km/l,1997 cc
Tata,Harrier,SUV5,Pure (O),Diesel,Manual, Delhi,20.58,16.80 Km/l,1956 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Delhi,14.2,25.00 Km/l,1497 cc
Hyundai,i20,Hatchback5,1.2 Asta,Petrol,Manual, Delhi,10.68,20.35 Km/l,1197 cc
Kia,Seltos,SUV5,1.5 HTX,Petrol,Manual, Delhi,18.16,17.90 Km/l,1482 cc
Honda,Elevate,SUV5,SV-R,Petrol,Manual, Delhi,13.98,15.31 Km/l,1498 cc
